Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
111,PROC_111,FREQTAB,SAS Visual Statistics,Advanced Analytics,,,FREQTAB,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
112,PROC_112,FSBROWSE,SAS/FSP,Data Management,,,,,,,,,,,,,,
113,PROC_113,FSEDIT,SAS/FSP,Data Management,,,,,,,,,,,,,,
114,PROC_114,FSLETTER,SAS/FSP,Data Management,,,,,,,,,,,,,,
115,PROC_115,FSLIST,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
116,PROC_116,FSVIEW,SAS/FSP,Data Management,,,,,,,,,,,,,,
117,PROC_117,G3D,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
118,PROC_118,G3GRID,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
119,PROC_119,GA,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
120,PROC_120,GAM,SAS/STAT,Analytics,Y,Y,GAM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
121,PROC_121,GAMMOD,SAS Visual Statistics,Advanced Analytics,,,GAMMOD,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
122,PROC_122,GAMPL,SAS/STAT,Analytics,Y,Y,GAMPL,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
123,PROC_123,GAMSELECT,SAS Visual Statistics,Advanced Analytics,,,GAMSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
124,PROC_124,GANNO,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
125,PROC_125,GANTT,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
126,PROC_126,GAREABAR,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
127,PROC_127,GBARLINE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
128,PROC_128,GCHART,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
129,PROC_129,GCONTOUR,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
130,PROC_130,GDEVICE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
131,PROC_131,GEE,SAS/STAT,Analytics,Y,Y,GEE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
132,PROC_132,GEE ,SAS/STAT,Analytics,Y,Y,,,,,,,,,,,,
133,PROC_133,GENESELECT,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
